TextKey,Text
DIALOGUE_MIKA_DAY1_MORNING_1,Dậy rồi à? Lâu quá.
DIALOGUE_MIKA_DAY1_MORNING_2,Mẹ gọi điện. Nói tối nay về muộn. Như mọi khi.
DIALOGUE_MIKA_DAY1_MORNING_3,Chị sẽ ở đây nếu em cần gì.
DIALOGUE_MIKA_DAY1_CHORE_1,Em giúp chị dọn dẹp một chút được không?
DIALOGUE_MIKA_DAY1_CHORE_2,Cảm ơn em.
DIALOGUE_MIKA_DAY1_DINNER_1,Ăn tối rồi. Chị nấu cơm.
DIALOGUE_MIKA_DAY1_DINNER_2,Ngon lắm. Em thích món này nhỉ?
DIALOGUE_MIKA_DAY1_DINNER_3,Ăn no chưa?
DIALOGUE_MIKA_DAY1_TV_1,Xem TV chút nhé?
DIALOGUE_MIKA_DAY1_TV_2,Phim này hơi nhàm. Nhưng kệ.
DIALOGUE_MIKA_DAY1_BEDTIME_1,Buồn ngủ rồi. Ngủ thôi.
DIALOGUE_MIKA_DAY1_BEDTIME_2,Ngủ ngon nhé em.
DIALOGUE_MIKA_DAY2_MORNING_1,Sáng... Mẹ gọi lại. Mẹ làm thêm giờ.
DIALOGUE_MIKA_DAY2_MORNING_2,Em giúp chị việc nhà được không? Chị có việc phải làm.
DIALOGUE_MIKA_DAY2_MORNING_3,Cảm ơn em.
DIALOGUE_MIKA_DAY2_COOK_HELP,Giặt giũ xong? Tốt lắm.
DIALOGUE_MIKA_DAY2_DINNER_1,Ăn tối thôi.
DIALOGUE_MIKA_DAY2_DINNER_2,Chị hơi mệt. Em ăn đi rồi lên ngủ nhé.
DIALOGUE_MIKA_DAY2_TV_GLITCH,...TV hỏng à? Màn hình nhấp nháy kỳ lạ.
DIALOGUE_MIKA_DAY3_MORNING_1,...
DIALOGUE_MIKA_DAY3_MORNING_2,(Chị ấy không nhìn em. Mắt mông lung.)
DIALOGUE_MIKA_DAY3_CONFRONT_1,Đừng hỏi về mẹ nữa.
DIALOGUE_MIKA_DAY3_CONFRONT_A1,Có gì đó sai. Sai từ lâu rồi.
