TextKey,Text
DIALOGUE_MIKA_DAY1_MORNING_1,You're up? Took you long enough.
DIALOGUE_MIKA_DAY1_MORNING_2,Mom called. Said she'll be home late tonight. Usual stuff.
DIALOGUE_MIKA_DAY1_MORNING_3,I'll be around if you need me.
DIALOGUE_MIKA_DAY1_CHORE_1,Can you help me clean up a bit?
DIALOGUE_MIKA_DAY1_CHORE_2,Thanks.
DIALOGUE_MIKA_DAY1_DINNER_1,Dinner time. I cooked rice.
DIALOGUE_MIKA_DAY1_DINNER_2,It's good. You like this dish, right?
DIALOGUE_MIKA_DAY1_DINNER_3,Full yet?
DIALOGUE_MIKA_DAY1_TV_1,Want to watch some TV?
DIALOGUE_MIKA_DAY1_TV_2,This show's kinda boring. Whatever though.
DIALOGUE_MIKA_DAY1_BEDTIME_1,Getting sleepy now. Let's sleep.
DIALOGUE_MIKA_DAY1_BEDTIME_2,Sleep well.
DIALOGUE_MIKA_DAY2_MORNING_1,Morning... Mom called again. She's working overtime.
DIALOGUE_MIKA_DAY2_MORNING_2,Can you help with chores today? I've got things to do.
DIALOGUE_MIKA_DAY2_MORNING_3,Thanks.
DIALOGUE_MIKA_DAY2_COOK_HELP,Done with laundry? Good job.
DIALOGUE_MIKA_DAY2_DINNER_1,Dinner time.
DIALOGUE_MIKA_DAY2_DINNER_2,I'm tired. You eat, then go to bed.
DIALOGUE_MIKA_DAY2_TV_GLITCH,...TV broken? Screen's flickering weird.
DIALOGUE_MIKA_DAY3_MORNING_1,...
DIALOGUE_MIKA_DAY3_MORNING_2,(She doesn't look at you. Eyes unfocused.)
DIALOGUE_MIKA_DAY3_CONFRONT_1,Stop asking about mom.
DIALOGUE_MIKA_DAY3_CONFRONT_A1,Something's wrong. Has been for a while.
DIALOGUE_MIKA_DAY3_CONFRONT_A2,The photos, the food, the date... It's all... broken.
DIALOGUE_MIKA_DAY3_CONFRONT_B1,Calendar keeps repeating. Why? Why the same day over and over?
DIALOGUE_MIKA_DAY3_CONFRONT_C1,Mom... I don't know where she is.
DIALOGUE_MIKA_DAY3_CONFRONT_C2,I don't think she's coming back.
DIALOGUE_MIKA_DAY3_CONFRONT_END,We need to talk. But not now.
